[GIN] 2026/09/15 - 00:58:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:58:51 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:59:21 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:59:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:59:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:59:44 | 401 |            0s |       127.0.0.1 | GET      "/auth/me"
[GIN] 2026/09/15 - 00:59:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:59:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:00:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:00:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:00:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:00:45 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:01:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:01:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:01:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:01:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:02:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:02:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:02:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:02:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:03:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:03:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:03:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:03:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:04:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:04:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:04:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:04:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:05:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:05:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:05:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:05:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:06:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:06:31 | 401 |       502.8µs |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:06:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:06:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:07:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:07:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:07:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:07:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:08:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:09:15 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:09:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:09:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:09:44 | 401 |       624.5µs |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:10:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:10:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:10:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:10:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:11:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:11:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:11:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:11:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:12:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:12:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:12:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:12:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:13:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:13:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:13:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:13:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:14:14 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:14:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:14:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:14:44 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:14:52 | 200 |            0s |             ::1 | GET      "/health"
[GIN] 2026/09/15 - 01:15:02 | 401 |            0s |       127.0.0.1 | GET      "/auth/me"
[GIN] 2026/09/15 - 01:15:02 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:15:02 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:15:30 | 200 |    485.0473ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:15:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:15:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:15:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:16:03 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:16:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:16:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:16:32 | 200 |    253.9006ms |             ::1 | POST     "/auth/login"
[GIN] 2026/09/15 - 01:16:33 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 01:16:45 | 200 |    194.0641ms |             ::1 | POST     "/auth/login"
